cd_id,year,dem_vote,repub_vote,total_vote,pct_dem,pct_gop
G5303,1990,138043,108583,246626,55.97260629,44.02739371
G5304,1990,106556,103028,209584,50.8416673,49.1583327
G5305,1990,135965,110443,246408,55.17880913,44.82119087
G5306,1990,152933,66664,238162,64.21385444,27.99103131
G5307,1990,222604,54149,283950,78.39549216,19.06990667
G5308,1990,87611,155874,258171,33.93525996,60.37626224
G5309,1990,110902,91910,212919,52.0864742,43.16665023
G5401,1990,172924,0,172924,100,0
G5402,1990,143988,59102,203090,70.89861638,29.10138362
G5403,1990,122279,64012,186291,65.63870504,34.36129496
G5501,1990,147495,104352,256280,57.55228656,40.71796473
G5502,1990,108291,183366,292898,36.97225655,62.60404646
G5503,1990,108664,146903,260335,41.74006568,56.42844796
G5504,1990,173482,84872,263803,65.76195115,32.17249235
G5505,1990,162344,71085,234176,69.32563542,30.35537374
G5506,1990,128232,143875,272137,47.12038422,52.86859192
G5507,1990,166200,91772,257982,64.42309929,35.57302447
G5508,1990,81792,191704,273532,29.90216867,70.08467017
G5509,1990,77362,192898,276787,27.9500121,69.69185692
G5600,1990,77418,113882,196977,39.30306584,57.81487179
G0101,2015,0,208083,215893,0,96.38
G0102,2015,112089,134886,276584,40.53,48.77
G0103,2015,94549,192164,287104,32.93,66.93
G0104,2015,0,235925,239444,0,98.53
G0105,2015,102234,205647,308326,33.16,66.7
G0106,2015,83709,245313,329306,25.42,74.49
G0107,2015,229330,0,233028,98.41,0
G0200,2015,111019,155088,308198,36.02,50.32
G0401,2015,142219,121745,280710,50.66,43.37
G0402,2015,135873,179806,315679,43.04,56.96
G0403,2015,148973,0,151035,98.63,0
G0404,2015,81296,203487,284783,28.55,71.45
G0405,2015,114940,205184,320124,35.9,64.1
G0406,2015,122866,201578,324444,37.87,62.13
G0407,2015,119465,39286,158811,75.22,24.74
G0408,2015,0,204942,298971,0,68.55
G0409,2015,169055,108350,277507,60.92,39.04
G0501,2015,0,183866,241047,0,76.28
G0502,2015,111347,176472,302464,36.81,58.34
G0503,2015,0,217192,280907,0,77.32
G0504,2015,0,"182,885",244159,0,74.9
G0601,2015,128588,185448,314036,40.95,59.05
G0602,2015,254194,76572,330766,76.85,23.15
G0603,2015,152513,104453,256996,59.34,40.64
G0604,2015,130845,220133,350978,37.28,62.72
G0605,2015,224526,67565,292091,76.87,23.13
G0606,2015,177565,57848,235413,75.43,24.57
G0607,2015,152133,145168,297301,51.17,48.83
G0608,2015,83035,136972,220007,37.74,62.26
G0609,2015,133163,98992,232155,57.36,42.64
